mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	4	1		D.I{	D	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	4/4	4	1		IV	D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
1	1	3/4	3/4	4/4	4	1		I	D	I		I	I							M	0	0	0, 4, 1		0	0
2	2	0	0	4/4	4	1		viio(2)	D	I		viio(2)	vii	o		2				o	0	0	0, 2, -1		5	0
2	2	1/4	1/4	4/4	4	1		viio	D	I		viio	vii	o						o	0	0	5, 2, -1		5	5
2	2	1/2	1/2	4/4	4	1		I|IAC}	D	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
4	4	0	0	4/4	4	1		V.I{	D	V		I	I						{	M	0	0	0, 4, 1		0	0
4	4	1/2	1/2	4/4	4	1		IV	D	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	4	3/4	3/4	4/4	4	1		I	D	V		I	I							M	0	0	0, 4, 1		0	0
5	5	0	0	4/4	4	1		viio(2)	D	V		viio(2)	vii	o		2				o	0	0	0, 2, -1		5	0
5	5	1/4	1/4	4/4	4	1		viio	D	V		viio	vii	o						o	0	0	5, 2, -1		5	5
5	5	1/2	1/2	4/4	4	1		I|IAC}	D	V		I	I					IAC	}	M	0	0	0, 4, 1		0	0
7	7	0	0	4/4	4	1		{	D	V									{		0	0				
7	7	1/2	1/2	4/4	4	1		IV(9)	D	V		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
7	7	3/4	3/4	4/4	4	1		IV	D	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	8	0	0	4/4	4	1		I(4)	D	V		I(4)	I			4				M	0	0	0, -1, 1		0	0
8	8	1/4	1/4	4/4	4	1		I	D	V		I	I							M	0	0	0, 4, 1		0	0
8	8	1/2	1/2	4/4	4	1		ii(9)	D	V		ii(9)	ii			9				m	0	0	2, -1, 3	4	2	2
8	8	3/4	3/4	4/4	4	1		V7	D	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	0	0	4/4	4	1		I(9)	D	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
9	9	1/4	1/4	4/4	4	1		I6	D	V		I6	I		6					M	0	0	4, 1, 0		0	4
9	9	1/2	1/2	4/4	4	1		IV	D	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
9	9	5/8	5/8	4/4	4	1		V7	D	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	3/4	3/4	4/4	4	1		vi	D	V		vi	vi							m	0	0	3, 0, 4		3	3
9	9	7/8	7/8	4/4	4	1		ii65	D	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
10	10	0	0	4/4	4	1		V(64)	D	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
10	10	1/4	1/4	4/4	4	1		V	D	V		V	V							M	0	0	1, 5, 2		1	1
10	10	1/2	1/2	4/4	4	1		I|PAC}	D	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
10	10	3/4	3/4	4/4	4	1		I.I6{	D	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
11	11	0	0	4/4	4	1		ii65	D	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
11	11	1/4	1/4	4/4	4	1		V	D	I		V	V							M	0	0	1, 5, 2		1	1
11	11	1/2	1/2	4/4	4	1		I(9)	D	I		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
11	11	3/4	3/4	4/4	4	1		I	D	I		I	I							M	0	0	0, 4, 1		0	0
