mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	7/8	4/4	3	1		g.i{	g	i		i	i						{	m	1	1	0, -3, 1		0	0
3	2	1/8	1/8	4/4	3	1		V	g	i		V	V							M	1	1	1, 5, 2		1	1
3	2	1/4	1/4	4/4	3	1		i	g	i		i	i							m	1	1	0, -3, 1		0	0
3	2	3/8	3/8	4/4	3	1		#viio6	g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
3	2	1/2	1/2	4/4	3	1		i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	5/8	5/8	4/4	3	1		#viio6	g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
3	2	3/4	3/4	4/4	3	1		i	g	i		i	i							m	1	1	0, -3, 1		0	0
3	2	7/8	7/8	4/4	3	1		V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
4	3	0	0	4/4	3	1		i	g	i		i	i							m	1	1	0, -3, 1		0	0
4	3	1/8	1/8	4/4	3	1		V	g	i		V	V							M	1	1	1, 5, 2		1	1
4	3	3/8	3/8	4/4	3	1		V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
4	3	1/2	1/2	4/4	3	1		i	g	i		i	i							m	1	1	0, -3, 1		0	0
4	3	5/8	5/8	4/4	3	1		V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
5	4	0	0	4/4	3	1		i	g	i		i	i							m	1	1	0, -3, 1		0	0
5	4	1/8	1/8	4/4	3	1		V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
5	4	1/4	1/4	4/4	3	1		i	g	i		i	i							m	1	1	0, -3, 1		0	0
5	4	3/8	3/8	4/4	3	1		iv6	g	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
5	4	1/2	1/2	4/4	3	1		V|HC}	g	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
5	4	7/8	7/8	4/4	3	1		{	g	i									{		1	1				
6	5	0	0	4/4	3	1		V6/iv	g	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
6	5	1/2	1/2	4/4	3	1		iv	g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	6	0	0	4/4	3	1		V65/III	g	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
7	6	1/2	1/2	4/4	3	1		III	g	i		III	III							M	1	1	-3, 1, -2		-3	-3
8	7	0	0	4/4	3	1		V(4)/III	g	i		V(4)/III	V			4	III			M	1	1	-2, -3, -1		-2	-2
8	7	1/4	1/4	4/4	3	1		V/III	g	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
8	7	3/8	3/8	4/4	3	1		V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
8	7	1/2	1/2	4/4	3	1		i(9)	g	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
8	7	3/4	3/4	4/4	3	1		i	g	i		i	i							m	1	1	0, -3, 1		0	0
9	8	0	0	4/4	3	1		v.V65	g	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
9	8	1/4	1/4	4/4	3	1		i	g	v		i	i							m	1	1	0, -3, 1		0	0
9	8	1/2	1/2	4/4	3	1		bII6	g	v		bII6	bII		6					M	1	1	-1, -4, -5		-5	-1
9	8	5/8	5/8	4/4	3	1		V7	g	v		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	8	3/4	3/4	4/4	3	1		VI	g	v		VI	VI							M	1	1	-4, 0, -3		-4	-4
9	8	7/8	7/8	4/4	3	1		ii%65	g	v		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
10	9	0	0	4/4	3	1		V(64)	g	v		V(64)	V			64				M	1	1	1, 0, -3		1	1
10	9	1/4	1/4	4/4	3	1		V	g	v		V	V							M	1	1	1, 5, 2		1	1
10	9	1/2	1/2	4/4	3	1		i|PAC}	g	v		i	i					PAC	}	m	1	1	0, -3, 1		0	0
11	9	0	7/8	4/4	3	1		VI{	g	v		VI	VI						{	M	1	1	-4, 0, -3		-4	-4
12	10	0	0	4/4	3	1		V/VI	g	v		V/VI	V				VI			M	1	1	-3, 1, -2		-3	-3
12	10	1/4	1/4	4/4	3	1		VI	g	v		VI	VI							M	1	1	-4, 0, -3		-4	-4
12	10	1/2	1/2	4/4	3	1		V/VI}	g	v		V/VI	V				VI		}	M	1	1	-3, 1, -2		-3	-3
12	10	3/4	3/4	4/4	3	1		vii{	g	v		vii	vii						{	m	1	1	-2, -5, -1		-2	-2
13	11	0	0	4/4	3	1		V/vii	g	v		V/vii	V				vii			M	1	1	-1, 3, 0		-1	-1
13	11	1/4	1/4	4/4	3	1		vii	g	v		vii	vii							m	1	1	-2, -5, -1		-2	-2
13	11	1/2	1/2	4/4	3	1		V/vii}	g	v		V/vii	V				vii		}	M	1	1	-1, 3, 0		-1	-1
13	11	3/4	3/4	4/4	3	1		i{	g	v		i	i						{	m	1	1	0, -3, 1		0	0
14	12	0	0	4/4	3	1		V	g	v		V	V							M	1	1	1, 5, 2		1	1
14	12	1/4	1/4	4/4	3	1		i	g	v		i	i							m	1	1	0, -3, 1		0	0
14	12	1/2	1/2	4/4	3	1		V}	g	v		V	V						}	M	1	1	1, 5, 2		1	1
14	12	3/4	3/4	4/4	3	1		i6{	g	v		i6	i		6				{	m	1	1	-3, 1, 0		0	-3
15	13	0	0	4/4	3	1		iv	g	v		iv	iv							m	1	1	-1, -4, 0		-1	-1
15	13	1/8	1/8	4/4	3	1		i	g	v		i	i							m	1	1	0, -3, 1		0	0
15	13	1/4	1/4	4/4	3	1		V(4)	g	v		V(4)	V			4				M	1	1	1, 0, 2		1	1
15	13	3/8	3/8	4/4	3	1		V	g	v		V	V							M	1	1	1, 5, 2		1	1
15	13	1/2	1/2	4/4	3	1		i|PAC}	g	v		i	i					PAC	}	m	1	1	0, -3, 1		0	0
