mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	4	1	C.I	C	I		I	I							M	0	0	0, 4, 1		0	0
1	1	7/16	7/16	4/4	4	1	vi6	C	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
1	1	1/2	1/2	4/4	4	1	ii2	C	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
1	1	3/4	3/4	4/4	4	1	V6	C	I		V6	V		6					M	0	0	5, 2, 1		1	5
2	2	0	0	4/4	4	1	vi(2)	C	I		vi(2)	vi			2				m	0	0	5, 0, 4		3	5
2	2	1/4	1/4	4/4	4	1	vi	C	I		vi	vi							m	0	0	3, 0, 4		3	3
2	2	7/16	7/16	4/4	4	1	ii64	C	I		ii64	ii		64					m	0	0	3, 2, -1		2	3
2	2	1/2	1/2	4/4	4	1	vii%2	C	I		vii%2	vii	%	2					%7	0	0	3, 5, 2, -1		5	3
2	2	3/4	3/4	4/4	4	1	iii6	C	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
3	3	0	0	4/4	4	1	IV(2)	C	I		IV(2)	IV			2				M	0	0	1, 3, 0		-1	1
3	3	1/4	1/4	4/4	4	1	IV	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	3	7/16	7/16	4/4	4	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
3	3	1/2	1/2	4/4	4	1	V2	C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
3	3	3/4	3/4	4/4	4	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	0	0	4/4	4	1	ii7	C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
4	4	1/4	1/4	4/4	4	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	1/2	1/2	4/4	4	1	I\\	C	I		I	I						\\	M	0	0	0, 4, 1		0	0
5	5	0	0	4/4	4	1	vi.#viio6	C	vi		#viio6	#vii	o	6					o	0	1	2, -1, 5		5	2
5	5	1/4	1/4	4/4	4	1	i	C	vi		i	i							m	0	1	0, -3, 1		0	0
5	5	1/2	1/2	4/4	4	1	V6	C	vi		V6	V		6					M	0	1	5, 2, 1		1	5
5	5	3/4	3/4	4/4	4	1	v6	C	vi		v6	v		6					m	0	1	-2, 2, 1		1	-2
6	6	0	0	4/4	4	1	iv6(2)	C	vi		iv6(2)	iv		6	2				m	0	1	-4, 0, 1		-1	-4
6	6	1/4	1/4	4/4	4	1	iv6	C	vi		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
6	6	1/2	1/2	4/4	4	1	V\\	C	vi		V	V						\\	M	0	1	1, 5, 2		1	1
6	6	7/8	7/8	4/4	4	1	V2	C	vi		V2	V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
7	7	0	0	4/4	4	1	i6(2)	C	vi		i6(2)	i		6	2				m	0	1	-3, 1, 2		0	-3
7	7	1/4	1/4	4/4	4	1	i6	C	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
7	7	3/8	3/8	4/4	4	1	iii.iv	C	iii		iv	iv							m	0	1	-1, -4, 0		-1	-1
7	7	1/2	1/2	4/4	4	1	V7	C	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
7	7	3/4	3/4	4/4	4	1	VI	C	iii		VI	VI							M	0	1	-4, 0, -3		-4	-4
