mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	4	1	a.i	a	i		i	i							m	1	1	0, -3, 1		0	0
2	2	1/2	1/2	4/4	4	1	iv6	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
3	3	0	0	4/4	4	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	1/2	1/2	4/4	4	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
4	4	0	0	4/4	4	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
4	4	1/2	1/2	4/4	4	1	iio6	a	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
5	5	0	0	4/4	4	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
5	5	1/2	1/2	4/4	4	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
6	6	0	0	4/4	4	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
6	6	1/2	1/2	4/4	4	1	V6	a	i		V6	V		6					M	1	1	5, 2, 1		1	5
7	7	0	0	4/4	4	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
7	7	1/4	1/4	4/4	4	1	V/iv	a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
7	7	1/2	1/2	4/4	4	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	7	3/4	3/4	4/4	4	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
8	8	0	0	4/4	4	1	iv6(9)	a	i		iv6(9)	iv		6	9				m	1	1	-4, 0, -1	1	-1	-4
8	8	1/4	1/4	4/4	4	1	iv6	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
8	8	1/2	1/2	4/4	4	1	V\\	a	i		V	V						\\	M	1	1	1, 5, 2		1	1
9	9	0	0	4/4	4	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
9	9	1/2	1/2	4/4	4	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
10	10	0	0	4/4	4	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
10	10	1/2	1/2	4/4	4	1	iio6	a	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
11	11	0	0	4/4	4	1	V2	a	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
11	11	1/4	1/4	4/4	4	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
11	11	1/2	1/2	4/4	4	1	V(4)	a	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
11	11	3/4	3/4	4/4	4	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
12	12	0	0	4/4	4	1	i\\	a	i		i	i						\\	m	1	1	0, -3, 1		0	0
