mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	4	1	F.I{		F	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	4/4	4	1	V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
1	1	1/2	1/2	4/4	4	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
1	1	3/4	3/4	4/4	4	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	0	0	4/4	4	1	ii65		F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
2	2	1/4	1/4	4/4	4	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
2	2	1/2	1/2	4/4	4	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
2	2	3/4	3/4	4/4	4	1	V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	3	0	0	4/4	4	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
3	3	1/4	1/4	4/4	4	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
3	3	1/2	1/2	4/4	4	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
3	3	3/4	3/4	4/4	4	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	0	0	4/4	4	1	iii7		F	I		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
4	4	1/4	1/4	4/4	4	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
4	4	1/2	1/2	4/4	4	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
4	4	5/8	5/8	4/4	4	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
4	4	3/4	3/4	4/4	4	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
4	4	7/8	7/8	4/4	4	1	vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
5	5	0	0	4/4	4	1	ii7		F	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
