mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	-1	4/4	1/8	7/8			1			firstMeasure	2
2	1	-1	4/4	1	0							3
3	2	-1	4/4	1	0							4
4	3	-1	4/4	1	0							5
5	4	-1	4/4	1	0							6
6	5	-1	4/4	1	0							7
7	6	-1	4/4	1	0							8
8	7	-1	4/4	1	0							9
9	8	-1	4/4	1	0							10
10	9	-1	4/4	1	0				end-start-repeat			11
11	10	-1	4/4	1	0							12
12	11	-1	4/4	1	0							13
13	12	-1	4/4	1	0							14
14	13	-1	4/4	1	0							15
15	14	-1	4/4	1	0							16
16	15	-1	4/4	1	0							17
17	16	-1	4/4	1	0							18
18	17	-1	4/4	1	0							19
19	18	-1	4/4	1	0							20
20	19	-1	4/4	1	0							21
21	20	-1	4/4	1	0							22
22	21	-1	4/4	1	0							23
23	22	-1	4/4	7/8	0						end	1, -1
